feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
N4_Q,-0.04841819854202023,0.03613084318826566,0.04841819854202023,0.002111697032883951,1.3498800629175526e-05,sparse_encoding
N4_R,-0.08809518064096403,0.0384401330364845,0.08809518064096403,0.002085696033288886,1.6322018127526824e-05,sparse_encoding
N4_S,-0.12165620220910049,0.05087011159270289,0.12165620220910049,0.0025015675304554826,2.8170495628432785e-05,sparse_encoding
N4_T,-0.06135019593919183,0.03611114687399407,0.06135019593919183,0.00211047965445437,1.7739847212952815e-05,sparse_encoding
N4_V,-0.06691425932534331,0.04088870880433882,0.06691425932534331,0.002292860270034986,2.043627827741962e-05,sparse_encoding
N4_W,-0.03836927593564533,0.01573629396565212,0.03836927593564533,0.0006350497411666051,3.421252695871312e-05,sparse_encoding
N4_Y,-0.05073850799500037,0.024031903563915727,0.05073850799500037,0.0012842943211905128,3.506301601596138e-05,sparse_encoding
N3_A,0.12334798640671536,0.07428580866486517,0.12334798640671536,0.0024038183791911423,2.1777600796525426e-05,sparse_encoding
N3_C,0.08229593127345164,0.03662540879027222,0.08229593127345164,0.0010804578418540643,3.0209092843815093e-05,sparse_encoding
N3_D,0.12300174310441363,0.06554108866645893,0.12300174310441363,0.002034529059291871,3.441131096521138e-05,sparse_encoding
N3_E,0.1456499131618662,0.07649877943629138,0.1456499131618662,0.0024090850368182113,2.7181952802860525e-05,sparse_encoding
N3_F,0.06811153486242642,0.056081999493280445,0.06811153486242642,0.001662180743424061,1.659168231462767e-05,sparse_encoding
